糖尿病	152501	240940	393441			0	0
胰岛素	20102	81210	101312			1	2916
空腹	29050	43024	72074			2	1815
降糖	2038	22523	24561			4	1610
降糖药	2365	14185	16550			8	1457
葡萄糖	5405	9239	14644			16	1178
高血糖	1499	11130	12629			32	945
二甲双胍	3116	9444	12560			64	668
小	3595	8849	12444			128	427
肾	2110	8949	11059			512	525
高血压	5143	5656	10799			1024	114
感觉	8002	1813	9815			2048	85
低血糖	1443	7168	8611				
消瘦	2403	6148	8551				
糖化血红蛋白	2498	5655	8153				
回	7471	554	8025			Q	
片	4819	3189	8008				
淀粉	46	7792	7838			0	4785
多尿	931	6657	7588			1	2433
感染	454	7008	7462			2	1138
脚	4890	2474	7364			4	933
肥胖	348	6464	6812			8	733
多饮	496	6301	6797			16	566
蜂胶	1016	5614	6630			32	429
尿糖	2437	4038	6475			64	283
维生素	360	5974	6334			128	198
肾脏	393	5677	6070			512	236
眼睛	4205	1674	5879			1024	44
治疗方案	557	5074	5631			2048	29
糖尿病肾病	1480	4093	5573				
剂	134	5419	5553				
山药	349	4932	5281			A	
痛	3447	1657	5104				
血糖升高	754	4298	5052			0	2016
疼痛	2626	2335	4961			1	2296
高胆固醇	28	4895	4923			2	1626
头晕	3038	1857	4895			4	1311
石斛	120	4710	4830			8	1244
疼	4196	567	4763			16	997
对症治疗	30	4451	4481			32	802
糖尿病足	1206	3273	4479			64	556
口渴	2752	1675	4427			128	369
心	1375	3016	4391			512	400
口服降糖药	189	4148	4337			1024	92
玄参	86	4232	4318			2048	59
鹿茸	116	4202	4318				
眼	1224	3084	4308				
肉苁蓉	81	4178	4259				
肝	1057	3082	4139				
益智仁	75	4058	4133				
胃	1635	2492	4127				
肿	2775	1326	4101				
枸杞子	200	3866	4066				
补骨脂	73	3934	4007				
运动疗法	45	3927	3972				
茯苓	157	3796	3953				
胆固醇	545	3396	3941				
青果	71	3841	3912				
心脏	1519	2336	3855				
液	1530	2321	3851				
人参	172	3623	3795				
荔枝核	69	3622	3691				
耐量试验	138	3509	3647				
知母	79	3410	3489				
诊断标准	213	3244	3457				
消渴丸	783	2567	3350				
无力	2356	982	3338				
蜂蜜	822	2279	3101				
毒副作用	38	3008	3046				
口干	1739	1290	3029				
不适	808	2132	2940				
感冒	1495	1370	2865				
白	1451	1321	2772				
延误病情	0	2670	2670				
痒	2092	534	2626				
乏力	1252	1343	2595				
气	624	1927	2551				
冠心病	922	1526	2448				
便秘	909	1532	2441				
白内障	935	1483	2418				
胶囊	1402	957	2359				
手	1683	658	2341				
水肿	653	1616	2269				
紧张	245	2021	2266				
出汗	1243	1018	2261				
损伤	163	2087	2250				
代谢性疾病	1	2246	2247				
肾病	693	1527	2220				
测试	1190	974	2164				
颈椎	387	1772	2159				
糖尿	736	1373	2109				
不舒服	1624	461	2085				
红	1205	840	2045				
心脏病	872	1168	2040				
玉竹	102	1937	2039				
视网膜病变	275	1762	2037				
酮症酸中毒	193	1807	2000				
山茱萸	68	1930	1998				
出血	801	1195	1996				
高血脂	455	1528	1983				
糖耐量实验	70	1879	1949				
自身免疫	8	1940	1948				
遗传因素	21	1927	1948				
积极治疗	23	1901	1924				
肝肾	240	1646	1886				
暴饮暴食	25	1857	1882				
减肥	418	1462	1880				
草莓	44	1820	1864				
呕吐	889	913	1802				
蔗糖	91	1700	1791				
合理用药	144	1646	1790				
体重减轻	273	1514	1787				
六味地黄丸	297	1470	1767				
掉	694	1059	1753				
小腿	1322	430	1752				
尿蛋白	1028	722	1750				
头	1261	475	1736				
青	338	1318	1656				
妊娠期糖尿病	525	1117	1642				
模糊	1411	230	1641				
功能减退	65	1572	1637				
眼底出血	894	738	1632				
黑	1067	542	1609				
贫血	445	1154	1599				
尿频	914	671	1585				
走路	1242	337	1579				
失眠	605	971	1576				
阴虚	53	1489	1542				
咳嗽	1006	535	1541				
消炎	372	1159	1531				
肚子	1291	226	1517				
周围神经病	155	1360	1515				
发烧	1065	411	1476				
优降糖	113	1356	1469				
甲亢	494	950	1444				
腹泻	486	934	1420				
格列齐特	329	1090	1419				
糖耐量异常	112	1301	1413				
昏迷	341	1034	1375				
发热	624	741	1365				
甘油三酯	839	519	1358				
恶心	699	658	1357				
营养神经	39	1303	1342				
神经病	189	1148	1337				
手指	912	420	1332				
果糖	212	1117	1329				
免疫功能	9	1319	1328				
动脉硬化	212	1111	1323				
二甲双胍片	307	1012	1319				
肿瘤	296	1014	1310				
诺和龙	495	814	1309				
二甲双胍缓释片	423	869	1292				
紊乱综合征	3	1285	1288				
脑血栓	626	649	1275				
皮肤瘙痒	380	863	1243				
肺	443	781	1224				
脂肪肝	647	575	1222				
眼病	283	937	1220				
发麻	910	295	1205				
肾虚	148	1045	1193				
失明	372	819	1191				
腹部	417	754	1171				
活血化瘀	25	1144	1169				
瘙痒	509	659	1168				
疲劳	356	804	1160				
心慌	674	475	1149				
溃疡	219	910	1129				
丸	362	729	1091				
蛋白尿	118	973	1091				
控制病情	194	889	1083				
格列吡嗪	178	879	1057				
软	728	319	1047				
溃烂	590	457	1047				
精神因素	9	1036	1045				
尿路感染	138	905	1043				
血压高	698	340	1038				
肌肉	322	707	1029				
糖尿病酮症酸中毒	222	800	1022				
视网膜	103	902	1005				
头痛	482	509	991				
阳痿	344	635	979				
麻痹	386	590	976				
硬	607	367	974				
腰	563	411	974				
脾	173	789	962				
不良反应	170	792	962				
尿毒症	365	591	956				
烂	653	289	942				
低盐饮食	2	938	940				
视力模糊	556	380	936				
规范治疗	2	929	931				
阿卡波糖	170	757	927				
枸杞	322	605	927				
防止并发症	13	907	920				
关节	372	544	916				
功能障碍	10	906	916				
达美康	384	529	913				
消渴	104	803	907				
瑞格列奈	114	790	904				
脚趾	665	220	885				
临床表现	71	812	883				
脸	692	176	868				
嘴	596	263	859				
气血失调	0	852	852				
甲状腺	263	586	849				
格列美脲	312	528	840				
肺结核	377	452	829				
诺和锐	508	318	826				
分泌胰岛素	28	789	817				
中风	386	426	812				
困难	346	463	809				
临床症状	55	741	796				
抽筋	472	318	790				
糖尿病前期	322	462	784				
西洋参	195	587	782				
阿司匹林	215	560	775				
骨	277	495	772				
神经系统	7	758	765				
骨折	403	357	760				
紫灵芝	102	646	748				
腰椎	147	597	744				
脚部	211	532	743				
胰岛素泵	161	575	736				
水泡	462	273	735				
肿胀	449	284	733				
肝硬化	294	438	732				
胸闷	459	272	731				
活血	41	687	728				
典型病例	1	723	724				
葡萄糖耐量试验	52	664	716				
吡格列酮	75	639	714				
总胆固醇	587	125	712				
晕	644	66	710				
甘油三脂	418	287	705				
痛风	208	490	698				
低血糖反应	35	650	685				
强身	0	678	678				
焦虑	37	640	677				
瓜子	84	587	671				
肾炎	163	502	665				
电解质紊乱	21	644	665				
体温	339	324	663				
肺部	274	389	663				
白癜风	154	508	662				
利尿	98	560	658				
危险因素	3	653	656				
呼吸	257	393	650				
饱和脂肪酸	4	646	650				
生化	301	346	647				
大腿	501	144	645				
血红蛋白	376	252	628				
皮肤病	167	459	626				
排便	129	495	624				
虚汗	452	168	620				
胆结石	425	193	618				
胆囊	325	292	617				
胃炎	115	499	614				
尿素	357	255	612				
格列本脲	72	539	611				
平衡膳食	0	609	609				
补肾	81	526	607				
乙肝	283	313	596				
皮下注射	33	561	594				
黄芪	194	394	588				
盐酸二甲双胍片	293	293	586				
动脉粥样硬化	23	563	586				
耳鸣	267	319	586				
丹参	119	466	585				
腹痛	155	429	584				
风湿	145	439	584				
口服葡萄糖	56	522	578				
山楂	153	420	573				
失水	8	557	565				
癌症	169	394	563				
心血管疾病	32	531	563				
餐后血糖高	279	281	560				
神经内科	29	526	555				
胰腺炎	259	295	554				
低血压	171	382	553				
前列腺	188	362	550				
尿常规检查	134	415	549				
肾阴虚	77	465	542				
